ID_REGISTRO;ID_PARCELA;Area;Lluvia_Temporada;KG
1;1;3696,29;324;11130
2;2;1469,21;324;3216
3;3;1529,87;324;
4;4;6247,46;324;24366
5;5;2763,91;324;3031
6;6;2715,71;324;9512
7;7;1288,88;324;4069
8;8;5836,11;324;20245
9;9;1463,39;324;3979
10;10;1006,34;324;4130
11;11;2833,71;324;5709
12;12;1227,39;324;6521
13;13;2443,14;324;10521
14;14;535,16;324;5279
15;15;6116,99;324;27491
16;16;1967,81;324;5909
17;17;1501,62;324;7503
18;18;1349,54;324;14366
19;19;2635,1;324;17084
20;20;3558,34;324;17436
21;21;1489,15;324;7307
22;22;7710,85;324;35271
23;23;4667,73;324;1145
24;24;2676,65;324;8922
25;25;2400,76;324;11258
26;26;1553,14;324;5665
27;27;4692,66;324;22713
28;28;2073,35;324;10187
29;29;3432,86;324;
30;30;2958,36;324;
31;31;1844,82;324;7654
32;32;1806,59;324;7494
33;33;1371,15;324;1700
34;34;1728,48;324;2707
35;35;739,59;324;
36;36;3114,59;324;10388
37;37;3325,66;324;11889
38;38;3183,56;324;
39;39;993,88;324;
40;40;3458,62;324;22775
41;41;5151,37;324;9110
42;42;3313,2;324;17101
43;43;1373,64;324;5146
44;44;934,88;324;7246
45;45;1708,54;324;7353
46;46;1729,31;324;2587
47;47;2468,07;324;13919
48;48;1440,95;324;4970
49;49;3617,34;324;3734
50;50;1706,87;324;
51;51;1803,27;324;4992
52;52;2405,75;324;5262
53;53;1002,19;324;7625
54;54;2704,91;324;14942
55;55;1874,74;324;
56;56;3889,91;324;14240
57;57;1582,22;324;3484
58;58;1706,87;324;
59;59;3768,59;324;
60;60;2499,65;324;6246
61;61;1349,54;324;
62;62;531,84;324;
63;63;2478,04;324;
64;1;3696,29;543,2;13332
65;2;1469,21;543,2;1848
66;3;1529,87;543,2;
67;4;6247,46;543,2;21749
68;5;2763,91;543,2;4904
69;6;2715,71;543,2;11739
70;7;1288,88;543,2;203
71;8;5836,11;543,2;5798
72;9;1463,39;543,2;3362
73;10;1006,34;543,2;1255
74;11;2833,71;543,2;5804
75;12;1227,39;543,2;2765
76;13;2443,14;543,2;8191
77;14;535,16;543,2;2973
78;15;6116,99;543,2;18543
79;16;1967,81;543,2;3093
80;17;1501,62;543,2;4806
81;18;1349,54;543,2;2543
82;19;2635,1;543,2;10654
83;20;3558,34;543,2;14049
84;21;1489,15;543,2;6500
85;22;7710,85;543,2;2228
86;23;4667,73;543,2;16516
87;24;2676,65;543,2;
88;25;2400,76;543,2;9718
89;26;1553,14;543,2;1938
90;27;4692,66;543,2;29017
91;28;2073,35;543,2;10296
92;29;3432,86;543,2;5212
93;30;2958,36;543,2;
94;31;1844,82;543,2;6168
95;32;1806,59;543,2;6043
96;33;1371,15;543,2;1876
97;34;1728,48;543,2;1706
98;35;739,59;543,2;
99;36;3114,59;543,2;7757
